Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 4/setup",1.4156929777446706e-4,1.2678569646099615e-5,5.261927266453589e-4,2.869374748725003e-4,6.560755520529068e-7,3.523558781247447e-4
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 4/test",4.6257044166701676e-5,2.2851776608735076e-5,6.966231172466828e-5,2.9428689290990496e-5,1.952766229839326e-5,3.339079629440151e-5
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 8/setup",3.4392144613487775e-4,2.48439573576284e-4,4.394033186934715e-4,1.2776577641032628e-4,7.391237438867666e-5,1.7146103811366156e-4
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 8/test",4.649533000103263e-4,4.585159983745841e-4,4.713906016460685e-4,8.5515529796891e-6,4.89019696073092e-6,1.1099914881691723e-5
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 16/setup",0.12135223281050839,5.620058905745662e-2,0.31479905974532285,0.1442712202468254,5.667945445336368e-4,0.17759850751983366
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 16/test",26.83890136611129,24.601558770057213,27.607026566382896,1.6589327862540748,7.704443002554538e-2,2.103597495884661
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 1/setup",2.799353303050017e-6,1.39588061158521e-6,4.8311568844246925e-6,2.1634042748391165e-6,9.022265654166591e-7,3.03673891944655e-6
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 1/test",3.637219351503634e-6,3.3794034226861493e-6,4.34596336750049e-6,5.318225706746322e-7,3.467934412938223e-8,6.894515304362584e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 2/setup",1.183401154110743e-6,1.1161976567256038e-6,1.339807348427523e-6,1.2404846292869678e-7,2.996396619530864e-8,1.638590462744209e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 2/test",7.361658192420191e-6,7.123239613318629e-6,7.504709339881128e-6,2.2562455442076323e-7,6.964652474786986e-8,3.2211517695889683e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 4/setup",2.272455676527686e-6,2.252426633011849e-6,2.3000162052668694e-6,2.8722178083735147e-8,1.5093416817006822e-8,4.086490932577999e-8
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 4/test",1.7165723709432886e-5,1.6999203233091635e-5,1.736577179846029e-5,2.3077038345160843e-7,1.479308509048989e-7,3.081042549881342e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 8/setup",3.948176953458107e-6,3.554401751845203e-6,5.035673311037492e-6,8.055924059805269e-7,8.018500739668805e-8,1.0573353454666502e-6
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 8/test",2.4066754513249724e-4,6.773943990258041e-5,7.467099426730458e-4,3.6879404453219947e-4,8.742270777574657e-6,4.652993475112021e-4
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 16/setup",8.277758540109147e-6,7.651909769967545e-6,8.718832911447036e-6,6.432056497702099e-7,4.2231058082385904e-7,8.161702118890969e-7
"StrictOkasakiQueue/WorstCase/Run worst-case algorithm with queue of size 16/test",1.3315197896987367e-4,1.2958858777411248e-4,1.371973623201429e-4,4.8927159671709395e-6,3.276127782077823e-6,6.3528924601097305e-6
