Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/Inserts/Insert 0 into queue of size 4/test",2.131434326333474e-6,2.09238255906951e-6,2.179516706444542e-6,5.558853618073735e-8,3.916894849902078e-8,7.229529525014009e-8
"PairQueue/Inserts/Insert 0 into queue of size 8/setup",4.126282706219926e-6,3.902699060929127e-6,4.286288063750308e-6,2.4633452969328967e-7,1.5997553049832848e-7,3.1631129989657464e-7
"PairQueue/Inserts/Insert 0 into queue of size 8/test",4.2460284826190314e-6,4.1963370313957585e-6,4.27594931716593e-6,4.7175135690276633e-8,2.5209027676959455e-8,6.086434235093428e-8
"PairQueue/Inserts/Insert 0 into queue of size 16/setup",1.8998052194991947e-5,1.1745446112267294e-5,2.713193608494361e-5,9.72206449717957e-6,6.020986552476695e-6,1.3183049592365375e-5
"PairQueue/Inserts/Insert 0 into queue of size 16/test",4.2762592612029796e-5,9.05724971236049e-6,1.000361539162956e-4,5.1847235987545206e-5,2.359473885279388e-7,6.454422430202961e-5
"PairQueue/Inserts/Insert 0 into queue of size 32/setup",4.3183604012697174e-4,2.1732242214374054e-5,9.569529605981631e-4,5.96818787151229e-4,4.0305773542828756e-4,7.202538885878906e-4
"PairQueue/Inserts/Insert 0 into queue of size 32/test",3.281542506704362e-4,1.7293649945769422e-4,6.965793711485272e-4,2.935959064025546e-4,3.5136482478439495e-5,4.021008040083322e-4
"PairQueue/Inserts/Insert 0 into queue of size 64/setup",4.809557096316264e-5,3.4833537500638226e-5,7.867871419741557e-5,2.4338604438837767e-5,4.876920366939131e-6,3.2320340390808255e-5
"PairQueue/Inserts/Insert 0 into queue of size 64/test",4.64844530973679e-5,4.5808933789913475e-5,4.7422232841834044e-5,1.0171284202433379e-6,1.741163118696716e-7,1.3711659559736834e-6
"PairQueue/Inserts/Insert 0 into queue of size 128/setup",6.38054765187777e-5,6.103982100119957e-5,6.638039717307456e-5,3.554756252228498e-6,1.9631565904845113e-6,4.831727654383452e-6
"PairQueue/Inserts/Insert 0 into queue of size 128/test",1.6885258019056997e-4,7.000918560519448e-5,4.647151919252121e-4,2.2050354863618681e-4,2.0573649114788914e-7,2.706013877462098e-4
"PairQueue/Inserts/Insert 0 into queue of size 256/setup",4.723694272683217e-3,7.439398247462052e-4,8.707525678322866e-3,5.070797405174276e-3,3.8981595192162308e-3,5.4613540026431815e-3
"PairQueue/Inserts/Insert 0 into queue of size 256/test",5.973777944476488e-4,3.572776345106271e-4,7.150106019651871e-4,2.1492591205767185e-4,1.5982278402282134e-5,3.195256409941006e-4
"PairQueue/Inserts/Insert 0 into queue of size 512/setup",1.1426710564356583e-3,3.1206841056163496e-4,3.5898708779078265e-3,1.8287613219340455e-3,1.6455502828590794e-5,2.256873869915732e-3
"PairQueue/Inserts/Insert 0 into queue of size 512/test",2.377037898393778e-3,3.6883820662131676e-4,8.381371394487528e-3,4.471651596202303e-3,2.6869255558488227e-5,5.495371977074718e-3
"PairQueue/Inserts/Insert 0 into queue of size 1024/setup",3.423541599184602e-3,1.4630188112730509e-3,6.904813887915769e-3,3.212865005317393e-3,1.1452657763285968e-3,4.164744029568121e-3
"PairQueue/Inserts/Insert 0 into queue of size 1024/test",8.451985276662386e-4,7.569836533986605e-4,1.1006401933156527e-3,1.911256928493294e-4,5.240872064221987e-6,2.3884405080722547e-4
"PairQueue/Inserts/Insert 0 into queue of size 2048/setup",7.327542270452548e-3,2.910138731430738e-3,1.333233670913256e-2,6.467968831728081e-3,3.5662183898660165e-3,7.855431526312214e-3
"PairQueue/Inserts/Insert 0 into queue of size 2048/test",1.2744192973467018e-2,3.740553752275614e-3,3.484139908918967e-2,1.6959839965726465e-2,6.93162818991e-4,2.180597866593424e-2
"PairQueue/Inserts/Insert 0 into queue of size 4096/setup",4.188056458601584e-2,2.158241738447776e-2,6.0124592677446506e-2,2.4862572479086353e-2,1.7608774381081844e-2,3.235455424609064e-2
"PairQueue/Inserts/Insert 0 into queue of size 4096/test",3.6208872691484595e-2,2.8613333598467017e-2,4.162183274397483e-2,7.888537506787719e-3,4.044652663623817e-3,1.0530423954643984e-2
"PairQueue/Inserts/Insert 0 into queue of size 8192/setup",1.5124754802080302e-2,1.481032837996116e-2,1.5539173976274637e-2,4.5815699909986836e-4,2.5581965795181744e-4,5.745838291699245e-4
"PairQueue/Inserts/Insert 0 into queue of size 8192/test",2.249293793806663e-2,1.5113549128862529e-2,4.440546502241721e-2,1.635363331418338e-2,1.3075330056462297e-4,2.012819388475806e-2
"PairQueue/Inserts/Insert 0 into queue of size 16384/setup",9.783096779951682e-2,6.542163361677757e-2,0.1164823101914846,3.113387214181625e-2,1.3829971593652278e-2,4.4768568462540764e-2
"PairQueue/Inserts/Insert 0 into queue of size 16384/test",7.66751812852346e-2,3.740473260054221e-2,0.11601262559065452,5.07090136541429e-2,4.0540948204556886e-2,5.406246189936429e-2
"PairQueue/Inserts/Insert 0 into queue of size 32768/setup",6.988139619001975e-2,6.844797600874533e-2,7.306318749556175e-2,2.5780819619810715e-3,2.9149893424609293e-4,3.4303960473783513e-3
"PairQueue/Inserts/Insert 0 into queue of size 32768/test",7.134700287947288e-2,6.675682534346214e-2,8.332505692610373e-2,9.13833708924319e-3,8.784823261435177e-4,1.1685206864041632e-2
"PairQueue/Inserts/Insert 0 into queue of size 65536/setup",0.16575117577681175,0.1429741429246389,0.23135629166731467,4.905617653771565e-2,9.545603689124429e-4,6.126447843630759e-2
"PairQueue/Inserts/Insert 0 into queue of size 65536/test",0.16238914002546898,0.14919133652815453,0.18610954751143088,2.178056780029364e-2,8.259783819226757e-3,2.8952103866767373e-2
"PairQueue/Inserts/Insert 0 into queue of size 131072/setup",0.31736317147383325,0.30136967171797385,0.3522779511369192,2.8151947589096844e-2,2.2092377981742756e-3,3.6763179262630785e-2
"PairQueue/Inserts/Insert 0 into queue of size 131072/test",0.3197167443192922,0.30838938225874535,0.3514243649400198,2.39678180098695e-2,7.886163055357214e-4,3.0413375014133614e-2
"PairQueue/BST/Traverse a balanced tree of depth 1/setup",3.4715284834374915e-6,6.659992049968513e-7,6.468365832862707e-6,3.854466466543904e-6,2.918287875289036e-6,4.1072677481969385e-6
"PairQueue/BST/Traverse a balanced tree of depth 1/test",7.732574305516967e-7,7.459845284942082e-7,8.017146276770856e-7,3.6244519231017384e-8,2.6923721945020892e-8,4.2376785327030015e-8
"PairQueue/BST/Traverse a balanced tree of depth 2/setup",2.113726495141335e-6,1.8669423518607704e-6,2.6597189838908784e-6,4.4461943971396994e-7,9.165925385449195e-8,6.086434235093432e-7
"PairQueue/BST/Traverse a balanced tree of depth 2/test",2.2929612236732543e-6,2.247589359631262e-6,2.3316244626161964e-6,5.284122819790264e-8,3.04742423930436e-8,6.890593484312952e-8
"PairQueue/BST/Traverse a balanced tree of depth 4/setup",5.330813317221437e-5,2.4133868013610514e-5,8.189290601930259e-5,3.8607650446842944e-5,2.829334588522232e-5,4.450683470678229e-5
"PairQueue/BST/Traverse a balanced tree of depth 4/test",1.1517267521228985e-5,1.1370200134303857e-5,1.1863394340506599e-5,2.767369373446663e-7,4.2344414140132514e-8,3.775630897510846e-7
"PairQueue/BST/Traverse a balanced tree of depth 8/setup",1.8529562476353768e-4,1.7799547493676127e-4,2.058030285459735e-4,1.550401363588313e-5,3.100241975744955e-7,1.9690689340547243e-5
"PairQueue/BST/Traverse a balanced tree of depth 8/test",6.310398164031271e-4,3.4577539248780895e-4,1.0210585520162687e-3,4.319868246633895e-4,2.8968168537763704e-4,5.445394377128413e-4
"PairQueue/BST/Traverse a balanced tree of depth 16/setup",0.23108382691511742,0.11171050538191428,0.3463757561601125,0.159472173429725,0.12775594758017741,0.16881077020161528
"PairQueue/BST/Traverse a balanced tree of depth 16/test",0.17982993592390648,0.11352887620100607,0.26688156594404805,9.65367578974244e-2,5.532077427537798e-2,0.1225770129746912
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 1/setup",3.983405367769059e-7,3.9221250904096213e-7,4.088730844480593e-7,1.0726612975036334e-8,2.4784385163228286e-9,1.5208954952471548e-8
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 1/test",3.5463771533511367e-6,1.9532005136033274e-6,4.958175495865302e-6,2.0051725929022603e-6,1.5208754996380656e-6,2.3755449646196525e-6
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 2/setup",1.2045189580897532e-5,1.2614528106800483e-6,4.4320621445867974e-5,2.4048640430796788e-5,7.48229556412923e-8,2.9503538461689596e-5
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 2/test",3.029934281137734e-6,2.964299048773304e-6,3.1051062566662265e-6,8.901824506942127e-8,5.838017515630251e-8,1.2136931150915497e-7
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 4/setup",5.18850042562465e-6,2.139310096019221e-6,9.044740623239647e-6,4.406276006996077e-6,2.5537091435754416e-6,5.293295354562535e-6
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 4/test",3.505897249474023e-5,1.7435783925366534e-5,6.219801187846133e-5,2.8234384573033488e-5,9.850877708706815e-6,4.1286432945334244e-5
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 8/setup",6.246197508038678e-5,2.913179988098944e-5,9.612278211477165e-5,4.392869229780419e-5,2.744366026901481e-5,6.420522062809808e-5
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 8/test",7.5662049727562136e-6,7.331760036639677e-6,7.745018907082386e-6,2.6373137642614223e-7,2.059980367951364e-7,3.155858152637844e-7
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 16/setup",8.550686260713457e-6,8.480358223225051e-6,8.665813040348118e-6,1.2197818807948076e-7,1.3714641003434079e-8,1.7888662178391222e-7
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 16/test",2.314055928817162e-5,2.2268628484600192e-5,2.446889137173747e-5,1.3955895324482864e-6,5.57010467316793e-7,1.9588085085338333e-6
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 32/setup",1.976051566010949e-5,1.921666354994268e-5,2.01110554088426e-5,5.421292677650445e-7,2.4596207443433564e-7,7.376414023127404e-7
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 32/test",2.3453403312156644e-4,7.451309267751773e-5,7.137048884754267e-4,3.5726193344711956e-4,7.031498631661904e-7,4.380126273141479e-4
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 64/setup",4.061917615352785e-5,3.6419322276096514e-5,4.7293667406623656e-5,6.9579523197428086e-6,2.5325298262909307e-6,9.342372264584564e-6
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 64/test",9.048218314464275e-5,8.547539298350994e-5,9.548897330577557e-5,6.507014801269809e-6,4.801486187054193e-6,7.639353183281951e-6
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 128/setup",1.7528103745900669e-4,9.040879167043246e-5,4.010157481523661e-4,1.7278358872032325e-4,1.012475592837359e-5,2.206793665714217e-4
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 128/test",2.564930397730607e-4,2.450489479761857e-4,2.8720135276134195e-4,2.35329826309339e-5,1.6782703609827104e-6,3.0622706350078924e-5
"PairQueue/WorstCase/Run worst-case algorithm with queue of size 256/setup",9.700798470240373e-4,2.0225281302745524e-4,3.049423642800405e-3,1.5658219744397045e-3,1.952493868776422e-5,1.9655337510797997e-3
